game,policy,model,levels,score,level_steps,skills,arms,f1,f1_curve,cover_curve,regress_curve,compress_curve,laws_curve,cases_curve,laws,explored,time
ar25,random,analogy,0/8,0.0,—,0,—,0.778,0.67→0.80→0.82→0.80→0.79→1.00,1.00→1.00→1.00→0.98→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,134→398→658→935→1206→1346,141→405→665→942→1213→1354,1357,1080,1.5
cd82,random,analogy,0/6,0.0,—,0,—,0.607,0.37→0.66→0.73→0.75→0.55→0.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,151→465→763→1077→1402→1544,159→473→771→1085→1409→1551,1551,1059,1.9
cn04,random,analogy,0/6,0.0,—,0,—,0.379,0.36→0.37→0.57→0.24→0.38→0.25,1.00→0.97→1.00→0.97→1.00→1.00,0.00→0.00→0.00→0.01→0.00→0.00,—,117→398→723→1000→1348→1524,125→406→731→1008→1356→1532,1544,1174,1.7
bp35,random,analogy,0/9,0.0,—,0,—,0.657,0.55→0.66→0.69→0.66→0.72→0.72,1.00→0.98→0.99→0.97→0.90→0.76,0.02→0.00→0.00→0.03→0.00→0.17,—,173→529→1113→2344→3541→4311,181→541→1130→2392→3566→4398,4475,1672,6.6
cn04,random,descent,0/6,0.0,—,0,—,0.631,0.35→0.55→0.74→0.77→0.73→0.65,0.65→0.82→0.92→0.96→0.89→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.4→2.6→3.6→4.2→6.1→6.6,12→20→24→33→28→30,0→0→0→0→0→0,30,0,30.4
cd82,random,descent,0/6,0.0,—,0,—,0.713,0.55→0.74→0.69→0.80→0.81→0.00,0.72→0.93→0.86→0.94→0.94→0.00,0.00→0.00→0.00→0.00→0.00,2.0→3.4→4.8→5.7→6.4→6.8,14→26→36→41→46→47,0→0→0→0→0→0,48,0,36.0
ar25,random,descent,0/8,0.0,—,0,—,0.757,0.64→0.66→0.83→0.83→0.81→1.00,0.72→0.80→0.95→0.90→0.90→1.00,0.01→0.00→0.00→0.00→0.00,3.7→7.9→6.7→9.0→12.7→13.8,8→13→24→24→21→22,0→0→0→0→0→0,22,0,36.3
ar25,random,hybrid,0/8,0.0,—,0,—,0.786,0.71→0.72→0.85→0.83→0.82→0.93,0.89→0.82→1.00→0.90→0.94→1.00,0.01→0.00→0.00→0.00→0.00,3.7→7.9→6.7→9.0→12.7→13.8,8→13→24→24→21→22,108→237→227→325→423→504,22,1199,37.3
cn04,random,hybrid,0/6,0.0,—,0,—,0.649,0.40→0.57→0.79→0.76→0.74→0.60,0.76→0.91→1.00→0.99→0.97→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.4→2.6→3.6→4.2→6.1→6.6,12→20→24→33→28→30,92→265→266→332→386→449,30,1210,31.2
cd82,random,hybrid,0/6,0.0,—,0,—,0.723,0.58→0.75→0.68→0.81→0.82→0.00,0.96→0.98→0.98→0.98→0.98→1.00,0.00→0.00→0.00→0.00→0.00,2.0→3.4→4.8→5.7→6.4→6.8,14→26→36→41→46→47,131→371→559→792→981→1054,48,1109,37.0
dc22,random,analogy,0/6,0.0,—,0,—,0.493,0.51→0.31→0.50→0.64→0.52→0.38,1.00→0.96→0.94→0.86→0.94→1.00,0.00→0.02→0.02→0.00→0.02,—,443→1354→2308→3251→4069→4613,467→1378→2332→3275→4093→4637,4703,798,6.6
g50t,random,analogy,0/7,0.0,—,0,—,0.478,0.41→0.44→0.51→0.41→0.62,0.98→0.94→0.90→0.74→0.92,0.00→0.00→0.00→0.01→0.03,—,183→587→965→1357→1786,193→597→976→1368→1796,2013,818,2.2
ft09,random,descent,0/6,0.0,—,0,—,0.581,0.12→0.63→0.81→0.74→0.61→0.56,0.43→0.96→0.93→1.00→1.00→0.76,0.08→0.00→0.00→0.00→0.24→0.41,0.7→1.4→2.5→4.1→4.9→5.0,2→8→8→8→8→8,0→0→0→0→0→0,6,0,49.2
g50t,random,descent,0/7,0.0,—,0,—,0.62,0.47→0.64→0.63→0.68→0.69,0.64→0.83→0.81→0.83→0.82,0.00→0.00→0.01→0.00→0.00→0.00,2.0→3.3→3.3→3.5→4.1→4.4,8→21→37→48→55,0→0→0→0→0,59,0,47.5
bp35,random,descent,0/9,0.0,—,0,—,0.657,0.70→0.71→0.67→0.54→0.68→0.42,0.79→0.73→0.84→0.82→0.77→0.70,0.03→0.00→0.00→0.00→0.00→0.02,5.1→5.9→4.1→6.1→8.4→9.7,10→23→41→40→37→35,0→0→0→0→0→0,35,0,90.7
ka59,random,analogy,0/7,0.0,—,0,—,0.473,0.38→0.43→0.45→0.49→0.61→0.44,0.86→1.00→0.98→0.94→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,141→433→686→963→1235→1369,148→441→693→970→1241→1376,1376,751,1.8
