game,policy,model,levels,score,level_steps,skills,arms,f1,f1_curve,cover_curve,regress_curve,compress_curve,laws_curve,cases_curve,laws,explored,time
bp35,random,hybrid,0/9,0.0,—,0,—,0.638,0.69→0.71→0.63→0.53→0.65→0.49,0.94→0.94→0.91→0.92→0.87→0.83,0.02→0.00→0.00→0.04→0.01→0.10,5.1→5.9→4.1→6.1→8.4→9.7,10→23→41→40→37→35,115→302→654→1530→2243→2944,35,1751,94.9
ft09,random,analogy,0/6,0.0,—,0,—,0.051,0.00→0.00→0.00→0.29→0.00→0.00,0.54→0.50→0.46→0.71→0.21→0.29,0.06→0.09→0.03→0.00→0.48→0.32,—,560→2492→3799→4000→4000→4000,618→2551→3828→4000→4000→4000,4000,1281,67.2
lf52,random,analogy,0/10,0.0,—,0,—,0.879,0.82→0.85→0.83→0.96→0.93→1.00,0.99→0.99→0.98→0.99→0.99→1.00,0.00→0.00→0.00→0.00→0.00,—,739→2259→3781→5305→6825→7622,778→2298→3820→5344→6864→7662,7681,815,13.9
dc22,random,descent,0/6,0.0,—,0,—,0.642,0.59→0.51→0.57→0.67→0.82→0.97,0.77→0.63→0.76→0.84→0.89→1.00,0.02→0.00→0.00→0.00→0.00,2.4→3.7→3.5→4.0→5.7→6.7,8→17→29→37→33→32,0→0→0→0→0→0,32,0,87.6
dc22,random,hybrid,0/6,0.0,—,0,—,0.678,0.70→0.52→0.62→0.75→0.78→0.87,1.00→0.93→0.95→0.97→0.96→1.00,0.01→0.00→0.00→0.00→0.00,2.4→3.7→3.5→4.0→5.7→6.7,8→17→29→37→33→32,293→511→1305→1986→2059→2201,32,1063,91.6
ka59,random,descent,0/7,0.0,—,0,—,0.635,0.53→0.68→0.54→0.73→0.70→0.60,0.68→0.74→0.66→0.81→0.79→0.60,0.03→0.00→0.00→0.00→0.00,2.4→5.6→10.4→8.7→8.9→10.0,11→17→17→24→27→28,0→0→0→0→0→0,28,0,41.5
ft09,random,hybrid,0/6,0.0,—,0,—,0.578,0.12→0.63→0.80→0.74→0.61→0.56,0.82→1.00→0.93→1.00→1.00→0.76,0.03→0.00→0.00→0.00→0.23→0.25,0.7→1.4→2.5→4.1→4.9→5.0,2→8→8→8→8→8,456→1427→1546→2254→3124→2965,6,2456,95.1
ka59,random,hybrid,0/7,0.0,—,0,—,0.659,0.58→0.68→0.56→0.73→0.74→0.73,0.85→0.96→0.75→0.93→0.84→1.00,0.00→0.01→0.00→0.00→0.01,2.4→5.6→10.4→8.7→8.9→10.0,11→17→17→24→27→28,120→276→397→506→653→755,28,798,42.1
ls20,random,analogy,0/7,0.0,—,0,—,0.799,0.82→0.80→0.72→0.89→0.76→0.90,1.00→0.99→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,185→565→942→1370→1764→1963,195→574→952→1381→1774→1973,1978,1042,2.6
g50t,random,hybrid,0/7,0.0,—,0,—,0.635,0.50→0.66→0.65→0.66→0.71,0.84→0.90→0.87→0.95→0.92,0.00→0.00→0.00→0.00→0.00,2.0→3.3→3.3→3.5→4.1→4.4,8→21→37→48→55,176→396→589→767→974,59,1004,50.7
m0r0,random,analogy,0/6,0.0,—,0,—,0.486,0.46→0.41→0.43→0.48→0.66→0.33,1.00→0.97→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,92→331→584→821→1034→1162,98→337→590→827→1040→1168,1174,1075,1.4
lp85,random,descent,0/8,0.0,—,0,—,0.566,0.00→0.62→0.73→0.55→0.59→0.81→0.66,0.48→0.71→0.75→0.65→0.62→0.85→0.71,0.02→0.01→0.05→0.03→0.01→0.00,3.6→2.3→3.2→3.9→4.5→5.1→5.7,2→8→13→13→14→16→16,0→0→0→0→0→0→0,17,0,14.0
lp85,random,analogy,0/8,0.0,—,0,—,0.554,0.00→0.85→0.86→0.15→0.57→0.57→0.88,1.00→1.00→1.00→1.00→1.00→1.00→0.98,0.00→0.01→0.01→0.00→0.00→0.00,—,240→869→1124→2369→3059→3509→4000,269→899→1154→2399→3089→3539→4000,4000,1334,18.7
lp85,random,hybrid,0/8,0.0,—,0,—,0.658,0.00→0.75→0.83→0.66→0.74→0.87→0.77,0.79→0.75→0.75→0.65→0.62→0.85→0.71,0.03→0.03→0.07→0.03→0.01→0.00,3.6→2.3→3.2→3.9→4.5→5.1→5.7,2→8→13→13→14→16→16,269→368→372→465→564→460→745,17,3067,17.9
lf52,random,descent,0/10,0.0,—,0,—,0.51,0.41→0.40→0.56→0.61→0.56→0.75,0.62→0.55→0.56→0.64→0.59→0.75,0.00→0.00→0.00→0.00→0.00→0.00,2.3→2.5→3.4→4.2→4.9→5.5,19→57→68→73→77→77,0→0→0→0→0→0,77,0,46.2
ls20,random,descent,0/7,0.0,—,0,—,0.786,0.66→0.84→0.83→0.81→0.80→0.75,0.80→0.92→0.88→0.95→0.93→1.00,0.01→0.00→0.00→0.00→0.00,7.6→13.9→13.7→8.2→8.0→8.4,3→6→8→17→22→23,0→0→0→0→0→0,23,0,18.4
ls20,random,hybrid,0/7,0.0,—,0,—,0.792,0.74→0.83→0.81→0.78→0.79→0.75,0.81→0.98→0.97→1.00→0.98→1.00,0.00→0.00→0.00→0.00→0.00,7.6→13.9→13.7→8.2→8.0→8.4,3→6→8→17→22→23,161→103→192→350→310→424,23,1213,19.8
re86,random,analogy,0/8,0.0,—,0,—,0.404,0.32→0.36→0.36→0.52→0.46→0.55,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,227→696→1192→1675→2165→2420,239→708→1205→1687→2178→2432,2438,1889,3.3
m0r0,random,descent,0/6,0.0,—,0,—,0.713,0.49→0.72→0.79→0.75→0.80→0.89,0.82→0.88→0.94→0.98→0.98→1.00,0.02→0.00→0.00→0.00→0.00→0.00,2.6→3.7→4.8→7.0→9.3,14→38→51→52→49→46,0→0→0→0→0→0,47,0,25.0
r11l,random,analogy,1/6,4.76,13,0,—,0.54,0.46→0.49→0.52→0.51→0.71→0.65,0.99→0.98→0.98→0.97→0.99→1.00,0.00→0.01→0.01→0.02→0.00→0.00,—,371→1345→2377→3412→3996→4000,394→1371→2407→3439→3998→4000,4000,3851,24.7
m0r0,random,hybrid,0/6,0.0,—,0,—,0.71,0.54→0.73→0.72→0.75→0.79→0.89,0.94→1.00→0.98→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,2.6→3.7→4.8→7.0→9.3,14→38→51→52→49→46,64→113→182→220→269→330,47,1081,25.6
lf52,random,hybrid,0/10,0.0,—,0,—,0.711,0.71→0.67→0.70→0.75→0.71→0.86,0.66→0.58→0.57→0.64→0.60→0.75,0.00→0.00→0.00→0.00→0.00,2.3→2.5→3.4→4.2→4.9→5.5,19→57→68→73→77→77,747→2200→3628→5057→6563→7360,77,836,59.4
s5i5,random,analogy,0/8,0.0,—,0,—,0.62,0.48→0.63→0.75→0.54→0.66→1.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,—,183→562→940→1319→1697→1902,193→572→950→1329→1707→1912,1922,421,5.2
sb26,random,analogy,0/8,0.0,—,0,—,0.959,0.82→1.00→1.00→1.00→1.00→0.89,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,126→307→472→598→776→930,130→312→477→603→781→935,964,277,1.7
sb26,random,descent,0/8,0.0,—,0,—,0.718,0.60→0.75→0.75→0.75→0.75→0.71,0.68→0.75→0.75→0.75→0.75→0.71,0.00→0.00→0.00→0.00→0.00,4.0→9.9→16.6→23.2→29.9→34.1,2→3→3→3→3→3,0→0→0→0→0→0,3,0,4.2
sb26,random,hybrid,0/8,0.0,—,0,—,0.828,0.75→0.86→0.86→0.86→0.86→0.71,0.77→0.75→0.75→0.75→0.75→0.79,0.00→0.00→0.00→0.00→0.00,4.0→9.9→16.6→23.2→29.9→34.1,2→3→3→3→3→3,57→98→149→200→251→285,3,364,5.1
sc25,random,analogy,0/6,0.0,—,0,—,0.664,0.47→0.60→0.70→0.79→0.76→0.63,0.96→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,—,188→649→1018→1358→1698→1888,197→659→1028→1368→1708→1897,1906,1200,2.5
s5i5,random,descent,0/8,0.0,—,0,—,0.538,0.26→0.54→0.58→0.65→0.65→0.74,0.48→0.61→0.65→0.73→0.73→0.81,0.00→0.02→0.01→0.00→0.00→0.00,1.4→2.4→4.3→6.0→7.7→8.8,15→30→29→31→33→33,0→0→0→0→0→0,33,0,53.6
s5i5,random,hybrid,0/8,0.0,—,0,—,0.639,0.47→0.64→0.65→0.70→0.72→0.82,0.62→0.64→0.66→0.74→0.73→0.81,0.03→0.02→0.02→0.00→0.00→0.00,1.4→2.4→4.3→6.0→7.7→8.8,15→30→29→31→33→33,180→515→749→1028→1359→1544,33,481,57.9
sk48,random,analogy,0/8,0.0,—,0,—,0.612,0.28→0.69→0.76→0.67→0.70→0.24,1.00→0.98→0.98→0.92→0.98→0.58,0.00→0.03→0.01→0.01→0.00→0.01,—,318→1034→1723→2624→3525→3964,337→1052→1743→2645→3546→3985,4012,2582,5.7
re86,random,descent,0/8,0.0,—,0,—,0.517,0.44→0.48→0.56→0.51→0.59→0.61,0.67→0.52→0.65→0.75→0.79→0.80,0.03→0.00→0.00→0.01→0.00,3.0→6.2→5.5→5.7→7.8→6.9,10→17→32→42→41→48,0→0→0→0→0→0,48,0,98.9
sp80,random,analogy,0/6,0.0,—,0,—,0.804,0.60→0.79→0.88→0.86→0.88→1.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,—,139→425→711→998→1284→1439,147→433→719→1005→1292→1447,1455,1093,1.9
re86,random,hybrid,0/8,0.0,—,0,—,0.54,0.48→0.51→0.57→0.54→0.59→0.62,0.80→0.86→0.88→0.89→0.98→0.90,0.00→0.00→0.02→0.01→0.00,3.0→6.2→5.5→5.7→7.8→6.9,10→17→32→42→41→48,199→472→829→1122→1359→1493,48,1928,101.9
sp80,random,descent,0/6,0.0,—,0,—,0.777,0.71→0.79→0.81→0.78→0.78→0.95,0.76→0.82→0.84→0.81→0.80→1.00,0.00→0.00→0.00→0.00→0.00→0.00,6.5→15.1→22.3→30.1→38.3→42.4,6→8→10→10→10→10,0→0→0→0→0→0,10,0,27.5
su15,random,analogy,0/9,0.0,—,0,—,0.949,0.72→1.00→1.00→1.00→1.00→1.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,—,55→178→394→532→659→772,59→182→398→536→663→776,802,196,1.6
sp80,random,hybrid,0/6,0.0,—,0,—,0.799,0.73→0.82→0.83→0.80→0.80→0.95,0.81→0.82→0.84→0.81→0.80→1.00,0.01→0.00→0.00→0.00→0.00→0.00,6.5→15.1→22.3→30.1→38.3→42.4,6→8→10→10→10→10,120→279→394→539→732→826,10,1169,28.2
su15,random,descent,0/9,0.0,—,0,—,0.745,0.39→0.81→0.88→0.78→0.74→1.00,0.64→1.00→0.92→1.00→0.85→1.00,0.01→0.00→0.00→0.00→0.00,1.5→2.2→3.0→4.2→5.8→7.6,2→6→6→6→6→5,0→0→0→0→0→0,5,0,6.4
su15,random,hybrid,0/9,0.0,—,0,—,0.844,0.70→0.87→0.88→0.90→0.79→1.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.5→2.2→3.0→4.2→5.8→7.6,2→6→6→6→6→5,59→117→197→261→322→399,5,258,6.9
tn36,random,descent,0/7,0.0,—,0,—,0.949,0.86→0.94→0.98→0.98→0.98→1.00,0.94→0.99→0.99→0.99→0.99→1.00,0.00→0.00→0.00→0.00→0.00→0.00,7.7→21.3→29.6→41.4→53.9→60.1,5→6→7→7→7→7,0→0→0→0→0→0,7,0,8.2
sc25,random,descent,0/6,0.0,—,0,—,0.679,0.47→0.65→0.78→0.71→0.79→0.66,0.61→0.84→0.98→0.94→0.93→0.84,0.01→0.00→0.00→0.00→0.00→0.00,1.3→3.0→4.3→6.0→7.8→8.5,20→37→44→46→50→53,0→0→0→0→0→0,54,0,132.5
sc25,random,hybrid,0/6,0.0,—,0,—,0.72,0.58→0.69→0.78→0.74→0.81→0.75,0.92→0.89→0.98→0.96→0.94→0.84,0.02→0.00→0.00→0.00→0.00→0.00,1.3→3.0→4.3→6.0→7.8→8.5,20→37→44→46→50→53,180→511→735→947→1109→1182,54,1326,136.5
tn36,random,analogy,0/7,0.0,—,0,—,0.899,0.85→0.91→0.94→0.91→0.89→0.90,0.96→0.94→0.94→0.92→0.91→0.93,0.00→0.00→0.00→0.00→0.00→0.02,—,368→1127→1886→2644→3404→3812,388→1147→1906→2664→3424→3832,3852,999,22.2
tn36,random,hybrid,0/7,0.0,—,0,—,0.946,0.86→0.94→0.97→0.98→0.98→1.00,1.00→0.99→0.99→0.99→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,7.7→21.3→29.6→41.4→53.9→60.1,5→6→7→7→7→7,275→556→341→437→499→626,7,1900,15.0
tr87,random,analogy,0/6,0.0,—,0,—,0.477,0.36→0.52→0.34→0.55→0.62→0.58,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,—,452→1388→2324→3257→4191→4683,476→1412→2348→3280→4215→4707,4719,879,11.5
tu93,random,analogy,0/9,0.0,—,0,—,0.701,0.50→0.67→0.66→0.83→0.82→1.00,1.00→1.00→1.00→1.00→0.98→1.00,0.00→0.00→0.00→0.00→0.00→0.00,—,720→2200→3681→5161→6642→7441,759→2239→3720→5200→6680→7480,7519,378,23.7
tr87,random,descent,0/6,0.0,—,0,—,0.638,0.43→0.55→0.62→0.76→0.81→1.00,0.59→0.72→0.62→0.80→0.89→1.00,0.00→0.01→0.00→0.00→0.00,1.9→2.8→4.9→7.3→9.2→9.8,9→26→25→23→22→23,0→0→0→0→0→0,23,0,31.9
tr87,random,hybrid,0/6,0.0,—,0,—,0.646,0.47→0.57→0.58→0.76→0.83→1.00,0.82→0.75→0.62→0.82→0.89→1.00,0.01→0.02→0.00→0.00→0.00,1.9→2.8→4.9→7.3→9.2→9.8,9→26→25→23→22→23,423→995→923→1432→1815→2150,23,949,40.2
vc33,random,analogy,1/7,0.21,29,0,—,0.558,0.46→0.54→0.55→0.58→0.65→0.50,1.00→0.93→0.93→0.98→0.94→1.00,0.01→0.02→0.01→0.03→0.03→0.03,—,198→696→1227→1753→2283→2562,209→711→1241→1767→2297→2576,2583,1594,13.4
tu93,random,descent,0/9,0.0,—,0,—,0.507,0.47→0.52→0.53→0.53→0.49→0.41,0.61→0.66→0.67→0.68→0.66→0.61,0.01→0.00→0.00→0.00→0.00→0.00,4.1→9.5→12.9→15.1→16.4→15.3,6→8→10→11→13→16,0→0→0→0→0→0,16,0,102.4
wa30,random,analogy,0/9,0.0,—,0,—,0.369,0.19→0.29→0.34→0.53→0.47→0.56,1.00→1.00→1.00→0.97→1.00→0.85,0.00→0.00→0.00→0.00→0.00→0.00,—,135→453→769→1079→1375→1552,142→461→777→1087→1383→1559,1581,1341,2.5
tu93,random,hybrid,0/9,0.0,—,0,—,0.571,0.54→0.58→0.60→0.59→0.55→0.46,0.69→0.68→0.68→0.69→0.66→0.61,0.01→0.00→0.00→0.00→0.00→0.00,4.1→9.5→12.9→15.1→16.4→15.3,6→8→10→11→13→16,731→2156→3602→5050→6453→7237,16,438,120.8
vc33,random,descent,1/7,0.21,29,0,—,0.603,0.58→0.59→0.59→0.60→0.65→0.57,0.70→0.74→0.69→0.71→0.78→0.67,0.01→0.00→0.00→0.00→0.00,2.5→3.7→4.2→5.0→6.0,11→31→41→47→51→52,0→0→0→0→0→0,51,0,141.8
vc33,random,hybrid,1/7,0.21,29,0,—,0.639,0.57→0.65→0.65→0.65→0.68→0.65,0.84→0.78→0.72→0.72→0.79→0.67,0.01→0.00→0.01→0.00→0.00→0.00,2.5→3.7→4.2→5.0→6.0,11→31→41→47→51→52,162→476→847→1277→1668→1834,51,1701,148.6
wa30,random,descent,0/9,0.0,—,0,—,0.525,0.24→0.58→0.61→0.58→0.61→0.58,0.39→0.84→0.85→0.85→0.86→0.82,0.07→0.00→0.00→0.00→0.00→0.00,0.9→1.1→1.6→2.1→2.9→3.1,9→40→58→67→62→66,0→0→0→0→0→0,67,0,82.7
wa30,random,hybrid,0/9,0.0,—,0,—,0.543,0.26→0.60→0.61→0.61→0.62→0.60,0.64→0.92→0.88→0.87→0.86→0.82,0.01→0.01→0.00→0.00→0.00→0.00,0.9→1.1→1.6→2.1→2.9→3.1,9→40→58→67→62→66,140→352→571→747→908→976,67,1346,74.3
r11l,random,descent,1/6,4.76,13,0,—,0.408,0.37→0.32→0.45→0.32→0.58→0.38,0.46→0.40→0.50→0.35→0.66→0.48,0.00→0.00→0.00→0.00→0.00→0.00,1.8→2.6→4.6→6.0→9.9→11.2,11→20→18→17→15→15,0→0→0→0→0→0,15,0,404.1
r11l,random,hybrid,1/6,4.76,13,0,—,0.439,0.43→0.34→0.47→0.36→0.60→0.39,0.87→0.78→0.84→0.73→0.89→0.83,0.02→0.02→0.00→0.02→0.02→0.02,1.8→2.6→4.6→6.0→9.9→11.2,11→20→18→17→15→15,320→1202→2164→3040→3749→3999,15,3945,422.7
sk48,random,descent,0/8,0.0,—,0,—,0.445,0.24→0.42→0.49→0.53→0.55→0.43,0.41→0.66→0.79→0.70→0.73→0.73,0.02→0.01→0.00→0.00→0.00→0.00,1.1→2.0→3.4→4.6→5.6→5.8,17→41→52→61→72→81,0→0→0→0→0→0,82,0,628.7
sk48,random,hybrid,0/8,0.0,—,0,—,0.507,0.33→0.52→0.53→0.57→0.57→0.46,0.84→0.85→0.88→0.85→0.87→0.79,0.00→0.01→0.01→0.01→0.00→0.00,1.1→2.0→3.4→4.6→5.6→5.8,17→41→52→61→72→81,318→920→1469→2212→2812→3134,82,2731,631.9
