game,policy,model,levels,score,level_steps,skills,arms,f1,f1_curve,cover_curve,regress_curve,compress_curve,laws_curve,cases_curve,laws,explored,time
ls20,random,hybrid,0/7,0.0,—,0,—,0.788,0.74→0.83→0.81→0.75→0.80→1.00,0.81→0.98→0.97→1.00→0.98→1.00,0.00→0.00→0.00→0.00→0.00,6.6→13.2→13.0→7.7→7.9→8.2,3→6→9→19→23→24,161→170→264→405→470→584,24,1197,64.0
ka59,random,hybrid,0/7,0.0,—,0,—,0.661,0.59→0.70→0.54→0.73→0.74→0.73,0.86→0.96→0.83→0.90→0.87→1.00,0.00→0.01→0.00→0.00→0.00,2.4→5.9→9.4→7.7→9.9,10→15→15→22→22→21,115→277→407→523→649→748,21,799,296.9
ka59,random,descent,0/7,0.0,—,0,—,0.633,0.54→0.68→0.51→0.72→0.71→0.60,0.67→0.74→0.62→0.81→0.81→0.60,0.00→0.00→0.02→0.00→0.00→0.00,2.4→5.9→9.4→7.7→9.9,10→15→15→22→22→21,0→0→0→0→0→0,21,0,297.1
m0r0,random,descent,0/6,0.0,—,0,—,0.77,0.51→0.76→0.87→0.82→0.88→1.00,0.83→0.92→0.96→0.98→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,2.8→4.8→9.2→14.2→19.4,11→24→22→19→18→18,0→0→0→0→0→0,18,0,100.3
m0r0,random,hybrid,0/6,0.0,—,0,—,0.76,0.54→0.77→0.78→0.82→0.88→1.00,0.93→0.96→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,2.8→4.8→9.2→14.2→19.4,11→24→22→19→18→18,69→197→309→262→311→365,18,1079,100.5
s5i5,random,descent,0/8,0.0,—,0,—,0.653,0.42→0.64→0.76→0.74→0.71→0.71,0.54→0.72→0.84→0.82→0.80→0.78,0.01→0.00→0.00→0.00→0.00→0.00,1.7→4.4→8.5→12.4→17.0→19.0,13→18→16→15→15→15,0→0→0→0→0→0,15,0,65.3
sb26,random,descent,0/8,0.0,—,0,—,0.711,0.55→0.75→0.75→0.75→0.75→0.71,0.64→0.75→0.75→0.75→0.75→0.71,0.00→0.00→0.00→0.00→0.00,3.7→9.5→15.8→22.1→28.5→32.1,2→3→3→3→3→3,0→0→0→0→0→0,3,0,4.4
s5i5,random,hybrid,0/8,0.0,—,0,—,0.714,0.58→0.72→0.77→0.74→0.75→0.73,0.73→0.76→0.85→0.82→0.80→0.78,0.03→0.02→0.00→0.00→0.00→0.00,1.7→4.4→8.5→12.4→17.0→19.0,13→18→16→15→15→15,179→468→692→958→1226→1390,15,484,68.2
sb26,random,hybrid,0/8,0.0,—,0,—,0.828,0.75→0.86→0.86→0.86→0.86→0.71,0.77→0.75→0.75→0.75→0.75→0.79,0.00→0.00→0.00→0.00→0.00,3.7→9.5→15.8→22.1→28.5→32.1,2→3→3→3→3→3,57→98→149→200→251→285,3,364,5.2
bp35,random,descent,0/9,0.0,—,0,—,0.667,0.71→0.71→0.67→0.57→0.69→0.42,0.78→0.73→0.83→0.82→0.79→0.70,0.03→0.00→0.00→0.00→0.01→0.00,5.9→6.1→4.2→6.6→8.7→10.0,8→22→39→36→34→32,0→0→0→0→0→0,33,0,749.3
bp35,random,hybrid,0/9,0.0,—,0,—,0.645,0.70→0.72→0.63→0.55→0.65→0.49,0.94→0.94→0.92→0.94→0.88→0.83,0.02→0.00→0.00→0.04→0.01→0.07,5.9→6.1→4.2→6.6→8.7→10.0,8→22→39→36→34→32,115→302→654→1515→2227→2919,33,1812,758.4
re86,random,descent,0/8,0.0,—,0,—,0.501,0.44→0.48→0.54→0.53→0.52→0.47,0.70→0.52→0.65→0.78→0.73→0.70,0.00→0.00→0.01→0.00→0.01→0.00,2.7→5.7→5.5→6.2→7.7→6.6,9→15→26→32→35→42,0→0→0→0→0→0,42,0,459.7
