game,policy,model,levels,score,level_steps,skills,arms,f1,f1_curve,cover_curve,regress_curve,compress_curve,laws_curve,cases_curve,laws,explored,time
ar25,random,descent,0/8,0.0,—,0,—,0.748,0.58→0.73→0.82→0.80→0.79→1.00,0.66→0.90→0.91→0.85→0.84→1.00,0.01→0.00→0.00→0.00→0.00→0.00,2.9→6.3→9.3→12.3→14.2→14.5,7→14→16→17→18→20,0→0→0→0→0→0,20,0,22.9
ar25,random,hybrid,0/8,0.0,—,0,—,0.778,0.68→0.78→0.84→0.80→0.78→0.93,0.81→0.92→0.95→0.85→0.87→1.00,0.02→0.00→0.00→0.00→0.00,2.9→6.3→9.3→12.3→14.2→14.5,7→14→16→17→18→20,126→204→225→321→384→462,20,1192,23.4
cn04,random,descent,0/6,0.0,—,0,—,0.597,0.31→0.52→0.74→0.75→0.66→0.62,0.57→0.78→0.89→0.89→0.84→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.3→2.4→3.7→4.9→6.3→6.1,11→19→21→26→25→29,0→0→0→0→0→0,30,0,24.0
cn04,random,hybrid,0/6,0.0,—,0,—,0.62,0.36→0.54→0.77→0.74→0.69→0.62,0.70→0.87→0.98→0.91→0.89→1.00,0.01→0.00→0.02→0.00→0.00→0.00,1.3→2.4→3.7→4.9→6.3→6.1,11→19→21→26→25→29,93→280→313→369→413→459,30,1208,24.8
cd82,random,descent,0/6,0.0,—,0,—,0.716,0.55→0.74→0.70→0.80→0.81→0.00,0.70→0.92→0.87→0.94→0.94→0.00,0.00→0.00→0.00→0.00→0.00,1.9→3.1→4.3→5.4→6.0→6.4,14→27→37→42→47→48,0→0→0→0→0→0,49,0,31.4
cd82,random,hybrid,0/6,0.0,—,0,—,0.729,0.58→0.75→0.71→0.81→0.82→0.00,0.96→0.98→0.98→0.98→0.98→1.00,0.00→0.00→0.00→0.00→0.00,1.9→3.1→4.3→5.4→6.0→6.4,14→27→37→42→47→48,131→371→565→797→986→1059,49,1105,32.3
g50t,random,descent,0/7,0.0,—,0,—,0.605,0.50→0.63→0.61→0.63→0.65,0.63→0.82→0.81→0.87→0.85,0.01→0.00→0.01→0.00→0.00→0.00,1.8→3.0→2.9→3.3→4.5→5.7,8→22→39→49→47,0→0→0→0→0,42,0,45.6
bp35,random,descent,0/9,0.0,—,0,—,0.664,0.71→0.71→0.68→0.55→0.69→0.42,0.78→0.73→0.83→0.83→0.77→0.70,0.03→0.00→0.00→0.00→0.01→0.02,5.9→6.1→4.1→6.6→8.6→9.9,8→22→40→36→35→34,0→0→0→0→0→0,34,0,78.2
g50t,random,hybrid,0/7,0.0,—,0,—,0.614,0.50→0.65→0.63→0.63→0.66,0.86→0.90→0.87→0.95→0.93,0.00→0.00→0.01→0.00→0.00,1.8→3.0→2.9→3.3→4.5→5.7,8→22→39→49→47,176→396→587→817→1081,42,1002,47.0
bp35,random,hybrid,0/9,0.0,—,0,—,0.646,0.70→0.72→0.63→0.54→0.66→0.49,0.94→0.94→0.92→0.93→0.87→0.83,0.02→0.00→0.00→0.04→0.00→0.08,5.9→6.1→4.1→6.6→8.6→9.9,8→22→40→36→35→34,115→302→646→1502→2178→2852,34,1811,81.6
ft09,random,descent,0/6,0.0,—,0,—,0.589,0.12→0.67→0.77→0.74→0.65→0.56,0.43→0.89→0.89→1.00→1.00→0.76,0.09→0.00→0.00→0.02→0.24→0.41,0.7→1.4→2.4→3.7→4.8→5.2,2→6→7→8→8→7,0→0→0→0→0→0,5,0,65.4
lf52,random,descent,0/10,0.0,—,0,—,0.776,0.90→0.76→0.50→0.98→0.76→0.50,0.92→0.77→0.50→0.99→0.76→0.50,0.00→0.00→0.00→0.00→0.00→0.00,7.8→21.0→24.4→19.8→17.7→19.1,4→5→7→10→13→13,0→0→0→0→0→0,13,0,15.2
lp85,random,descent,0/8,0.0,—,0,—,0.557,0.00→0.64→0.73→0.53→0.59→0.77→0.65,0.42→0.73→0.75→0.62→0.62→0.81→0.69,0.02→0.01→0.05→0.03→0.01→0.00,2.9→2.0→3.1→3.7→4.3→4.9→5.4,2→8→12→12→13→14→16,0→0→0→0→0→0→0,16,0,12.6
lf52,random,hybrid,0/10,0.0,—,0,—,0.836,0.92→0.81→0.65→0.99→0.82→0.67,0.99→0.79→0.53→0.99→0.77→0.50,0.00→0.00→0.00→0.00→0.00,7.8→21.0→24.4→19.8→17.7→19.1,4→5→7→10→13→13,380→416→1379→2452→2504→2882,13,1436,21.4
dc22,random,descent,0/6,0.0,—,0,—,0.639,0.59→0.50→0.56→0.67→0.82→1.00,0.77→0.64→0.75→0.86→0.93→1.00,0.01→0.01→0.00→0.00→0.00,2.2→3.6→3.5→3.9→5.9→6.8,8→17→29→35→31→30,0→0→0→0→0→0,30,0,82.2
dc22,random,hybrid,0/6,0.0,—,0,—,0.675,0.70→0.52→0.62→0.73→0.78→0.89,1.00→0.93→0.94→0.97→1.00→1.00,0.01→0.00→0.00→0.00→0.00,2.2→3.6→3.5→3.9→5.9→6.8,8→17→29→35→31→30,293→500→1304→1988→1988→2206,30,1059,86.2
lp85,random,hybrid,0/8,0.0,—,0,—,0.653,0.00→0.76→0.83→0.64→0.74→0.84→0.76,0.73→0.75→0.75→0.62→0.62→0.81→0.69,0.03→0.03→0.08→0.03→0.01→0.00,2.9→2.0→3.1→3.7→4.3→4.9→5.4,2→8→12→12→13→14→16,269→371→374→465→564→462→748,16,3062,16.7
ka59,random,descent,0/7,0.0,—,0,—,0.637,0.53→0.67→0.54→0.74→0.70→0.60,0.67→0.74→0.67→0.80→0.79→0.60,0.00→0.00→0.00→0.00→0.00→0.00,2.3→5.5→10.0→9.0→9.3,11→17→16→21→25→28,0→0→0→0→0→0,28,0,37.5
ka59,random,hybrid,0/7,0.0,—,0,—,0.66,0.58→0.68→0.57→0.73→0.74→0.73,0.86→0.96→0.79→0.93→0.84→1.00,0.00→0.01→0.00→0.00→0.01,2.3→5.5→10.0→9.0→9.3,11→17→16→21→25→28,115→276→396→508→652→755,28,798,38.7
ls20,random,descent,0/7,0.0,—,0,—,0.793,0.66→0.84→0.83→0.83→0.80→1.00,0.80→0.92→0.88→0.96→0.93→1.00,0.01→0.00→0.00→0.00→0.00,7.4→13.5→13.3→7.5→7.1→7.4,3→6→8→18→23→25,0→0→0→0→0→0,25,0,15.9
ls20,random,hybrid,0/7,0.0,—,0,—,0.798,0.74→0.83→0.81→0.80→0.79→1.00,0.81→0.98→0.97→1.00→0.98→1.00,0.00→0.00→0.00→0.00→0.00,7.4→13.5→13.3→7.5→7.1→7.4,3→6→8→18→23→25,161→103→192→322→303→412,25,1213,16.9
m0r0,random,descent,0/6,0.0,—,0,—,0.715,0.50→0.71→0.82→0.76→0.79→0.89,0.85→0.92→0.97→0.98→0.97→1.00,0.00→0.00→0.00→0.00→0.00→0.00,2.7→4.2→5.2→7.1→9.2,12→31→44→47→47→44,0→0→0→0→0→0,45,0,26.2
m0r0,random,hybrid,0/6,0.0,—,0,—,0.712,0.55→0.73→0.74→0.74→0.79→0.89,0.93→0.96→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00,2.7→4.2→5.2→7.1→9.2,12→31→44→47→47→44,69→196→317→255→305→366,45,1079,27.2
ft09,random,hybrid,0/6,0.0,—,0,—,0.586,0.12→0.67→0.75→0.74→0.65→0.56,0.86→0.96→0.93→1.00→1.00→0.76,0.03→0.00→0.00→0.02→0.23→0.25,0.7→1.4→2.4→3.7→4.8→5.2,2→6→7→8→8→7,441→1485→1834→2732→3472→3095,5,2393,112.3
sb26,random,descent,0/8,0.0,—,0,—,0.711,0.55→0.75→0.75→0.75→0.75→0.71,0.64→0.75→0.75→0.75→0.75→0.71,0.00→0.00→0.00→0.00→0.00,3.7→9.5→15.8→22.1→28.5→32.1,2→3→3→3→3→3,0→0→0→0→0→0,3,0,4.0
sb26,random,hybrid,0/8,0.0,—,0,—,0.828,0.75→0.86→0.86→0.86→0.86→0.71,0.77→0.75→0.75→0.75→0.75→0.79,0.00→0.00→0.00→0.00→0.00,3.7→9.5→15.8→22.1→28.5→32.1,2→3→3→3→3→3,57→98→149→200→251→285,3,364,4.6
s5i5,random,descent,0/8,0.0,—,0,—,0.598,0.34→0.56→0.68→0.70→0.71→0.71,0.52→0.64→0.75→0.79→0.82→0.78,0.00→0.00→0.00→0.00→0.00→0.00,1.3→2.6→4.8→7.0→8.8→10.2,16→29→28→30→34→33,0→0→0→0→0→0,33,0,47.9
s5i5,random,hybrid,0/8,0.0,—,0,—,0.68,0.54→0.66→0.71→0.72→0.75→0.73,0.66→0.67→0.76→0.80→0.82→0.78,0.04→0.01→0.00→0.00→0.00→0.00,1.3→2.6→4.8→7.0→8.8→10.2,16→29→28→30→34→33,175→510→659→874→1109→1265,33,500,51.2
re86,random,descent,0/8,0.0,—,0,—,0.487,0.44→0.47→0.54→0.48→0.50→0.50,0.64→0.50→0.63→0.69→0.74→0.63,0.00→0.00→0.00→0.00→0.00→0.00,2.8→5.9→5.5→6.5→8.3→6.5,9→16→29→34→37→46,0→0→0→0→0→0,47,0,86.8
re86,random,hybrid,0/8,0.0,—,0,—,0.516,0.48→0.51→0.57→0.50→0.52→0.54,0.78→0.87→0.90→0.79→0.90→0.83,0.00→0.00→0.03→0.00→0.01,2.8→5.9→5.5→6.5→8.3→6.5,9→16→29→34→37→46,199→495→837→1121→1480→1686,47,1916,88.2
sp80,random,descent,0/6,0.0,—,0,—,0.777,0.71→0.79→0.81→0.78→0.78→0.95,0.76→0.82→0.84→0.81→0.80→1.00,0.00→0.00→0.00→0.00→0.00→0.00,6.3→14.7→21.5→29.3→37.2→41.3,6→8→10→10→10→10,0→0→0→0→0→0,10,0,22.7
su15,random,descent,0/9,0.0,—,0,—,0.773,0.41→0.71→0.93→0.86→0.84→1.00,0.62→0.92→1.00→1.00→0.85→1.00,0.00→0.00→0.00→0.00→0.00,1.2→1.7→2.5→3.4→4.3→6.0,2→7→9→9→10→7,0→0→0→0→0→0,7,0,2.2
sp80,random,hybrid,0/6,0.0,—,0,—,0.799,0.73→0.82→0.83→0.80→0.80→0.95,0.81→0.82→0.84→0.81→0.80→1.00,0.01→0.00→0.00→0.00→0.00→0.00,6.3→14.7→21.5→29.3→37.2→41.3,6→8→10→10→10→10,120→279→394→539→732→826,10,1169,23.5
su15,random,hybrid,0/9,0.0,—,0,—,0.887,0.72→0.83→0.93→0.90→1.00→1.00,1.00→1.00→1.00→1.00→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,1.2→1.7→2.5→3.4→4.3→6.0,2→7→9→9→10→7,59→53→53→53→42→70,7,283,2.5
tn36,random,descent,0/7,0.0,—,0,—,0.951,0.88→0.94→0.98→0.98→0.98→1.00,0.94→0.99→0.99→0.99→0.99→1.00,0.00→0.00→0.00→0.00→0.00→0.00,7.5→20.7→28.8→40.4→52.6→58.7,5→6→7→7→7→7,0→0→0→0→0→0,7,0,5.8
tn36,random,hybrid,0/7,0.0,—,0,—,0.948,0.87→0.94→0.97→0.98→0.98→1.00,1.00→0.99→0.99→0.99→1.00→1.00,0.00→0.00→0.00→0.00→0.00→0.00,7.5→20.7→28.8→40.4→52.6→58.7,5→6→7→7→7→7,275→556→341→437→499→626,7,1900,10.1
sc25,random,descent,0/6,0.0,—,0,—,0.684,0.47→0.65→0.78→0.72→0.80→0.69,0.61→0.83→0.99→0.93→0.95→0.84,0.01→0.00→0.00→0.00→0.00→0.00,1.3→2.9→4.2→5.9→7.7→8.4,20→37→43→44→48→51,0→0→0→0→0→0,52,0,108.9
sc25,random,hybrid,0/6,0.0,—,0,—,0.72,0.58→0.69→0.78→0.74→0.81→0.75,0.92→0.89→0.99→0.96→0.95→0.84,0.02→0.00→0.00→0.00→0.00→0.00,1.3→2.9→4.2→5.9→7.7→8.4,20→37→43→44→48→51,180→512→730→940→1100→1173,52,1329,110.5
tr87,random,descent,0/6,0.0,—,0,—,0.648,0.46→0.55→0.62→0.76→0.83→1.00,0.61→0.73→0.62→0.80→0.90→1.00,0.00→0.01→0.00→0.00→0.00,1.8→2.7→4.6→6.8→8.6→9.2,9→26→26→24→24→24,0→0→0→0→0→0,24,0,20.7
tr87,random,hybrid,0/6,0.0,—,0,—,0.646,0.47→0.56→0.59→0.76→0.84→1.00,0.83→0.75→0.62→0.82→0.90→1.00,0.01→0.02→0.00→0.00→0.00,1.8→2.7→4.6→6.8→8.6→9.2,9→26→26→24→24→24,422→925→923→1432→1815→2150,24,950,25.9
tu93,random,descent,0/9,0.0,—,0,—,0.521,0.46→0.54→0.55→0.56→0.51→0.37,0.62→0.68→0.69→0.69→0.67→0.61,0.01→0.00→0.00→0.00→0.00→0.00,3.3→7.8→11.1→11.6→11.1→9.1,8→10→12→13→16→23,0→0→0→0→0→0,23,0,83.5
tu93,random,hybrid,0/9,0.0,—,0,—,0.583,0.53→0.59→0.61→0.62→0.57→0.40,0.71→0.70→0.70→0.70→0.67→0.61,0.02→0.00→0.00→0.00→0.00→0.00,3.3→7.8→11.1→11.6→11.1→9.1,8→10→12→13→16→23,729→2151→3596→5042→6409→7190,23,441,103.5
vc33,random,descent,1/7,0.21,29,0,—,0.613,0.58→0.59→0.59→0.64→0.67→0.57,0.70→0.74→0.68→0.75→0.79→0.67,0.01→0.00→0.00→0.00→0.00,2.4→3.5→4.0→5.2→6.7,11→31→41→43→45→45,0→0→0→0→0→0,45,0,117.2
vc33,random,hybrid,1/7,0.21,29,0,—,0.643,0.56→0.65→0.65→0.67→0.69→0.65,0.84→0.78→0.72→0.78→0.79→0.67,0.01→0.00→0.01→0.01→0.00→0.00,2.4→3.5→4.0→5.2→6.7,11→31→41→43→45→45,162→476→845→1199→1574→1801,45,1709,133.2
wa30,random,descent,0/9,0.0,—,0,—,0.517,0.33→0.58→0.60→0.56→0.54→0.35,0.54→0.81→0.78→0.79→0.73→0.46,0.07→0.00→0.00→0.00→0.00→0.00,1.2→2.0→2.5→3.5→4.3→4.5,8→27→39→44→42→44,0→0→0→0→0→0,45,0,74.2
